artist_name,collection_name,collection_type,track_name,track_duration_seconds,is_explicit,spotify_streams,youtube_streams,youtube_likes,youtube_dislikes_estimated,track_credited_artist
Kendrick Lamar,Mr. Morale & The Big Steppers,album,United In Grief,255,true,84118869,9434916,268000,2600,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,N95,195,true,181953044,56316904,1453000,20300,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Worldwide Steppers,203,true,45434119,3920385,79000,1200,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Die Hard,239,true,148720056,10932146,182000,1700,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Die Hard,239,true,148720056,10932146,182000,1700,Blxst
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Die Hard,239,true,148720056,10932146,182000,1700,Amanda Reifer
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Father Time,222,true,79671528,6360256,141000,735,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Father Time,222,true,79671528,6360256,141000,735,Sampha
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Rich Spirit,202,true,95455147,8407267,153000,1300,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Rich - Interlude,103,true,31156192,2054394,33000,279,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,We Cry Together,341,true,49379689,7613336,226000,4100,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,We Cry Together,341,true,49379689,7613336,226000,4100,Taylour Paige
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Purple Hearts,329,true,52351109,5416242,122000,916,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Purple Hearts,329,true,52351109,5416242,122000,916,Summer Walker
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Purple Hearts,329,true,52351109,5416242,122000,916,Ghostface Killah
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Count Me Out,283,true,67302831,10774221,193000,1200,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Crown,264,true,30684782,2582050,56000,544,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Silent Hill,220,true,83381223,19935539,354000,9400,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Silent Hill,220,true,83381223,19935539,354000,9400,Kodak Black
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Savior - Interlude,152,true,27141800,1958553,42000,255,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Savior,224,true,56651442,5733898,118000,1100,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Savior,224,true,56651442,5733898,118000,1100,Baby Keem
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Savior,224,true,56651442,5733898,118000,1100,Sam Dew
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Auntie Diaries,281,true,28159655,2308133,60000,2200,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Mr. Morale,210,true,38928066,4453325,116000,1000,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Mr. Morale,210,true,38928066,4453325,116000,1000,Tanna Leone
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Mother I Sober,406,true,24419668,3544301,96000,842,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Mother I Sober,406,true,24419668,3544301,96000,842,Beth Gibbons
Kendrick Lamar,Mr. Morale & The Big Steppers,album,Mirror,256,true,34019440,3670193,111000,791,Kendrick Lamar
Kendrick Lamar,Mr. Morale & The Big Steppers,album,The Heart Part V,332,true,48528772,41098540,1907000,18131,Kendrick Lamar
Kenshi Yonezu,KICK BACK,single,KICK BACK,193,false,32748647,44720763,1372000,10300,Kenshi Yonezu
Kishi Bashi,For Every Voice That Never Sang,single,For Every Voice That Never Sang,227,false,579319,33176,749,4,Kishi Bashi
Cleopatrick,hometown,single,hometown,256,false,65931881,2550820,43300,718,Cleopatrick
Dead Poet Society,Lo Air,single,Lo Air,182,false,6150708,293704,7100,61,Dead Poet Society
Stephen,Sincerely,single,Sincerely,287,false,9698290,8744509,118000,2115,Stephen
Survive Said The Prophet,found & lost,single,found & lost,188,false,24985978,9253719,140000,944,Survive Said The Prophet
Crywolf,Quantum Immortality (Radio Edit),single,Quantum Immortality (Radio Edit),231,false,232507,null,null,null,Crywolf
Denzel Curry,Walkin,single,Walkin,280,true,41514533,7790072,275900,1729,Denzel Curry
Eden Project,Bipolar Paradise,EP,drowning.,257,false,27617984,16507689,135000,2875,Eden Project
Eden Project,Bipolar Paradise,EP,Fumes,211,false,18481982,17572665,182000,2100,Eden Project
Eden Project,Bipolar Paradise,EP,Jupiter,242,false,8046765,3961911,24000,348,Eden Project
Eden Project,Bipolar Paradise,EP,Soul,126,false,3389645,1391900,8778,164,Eden Project
Eden Project,Bipolar Paradise,EP,Man Down,315,false,7623345,4480241,36000,525,Eden Project
Marko,neki album,EP,dobra pisma,56,true,null,1234324,null,null,Marko
